DATAFLOW,FREQ,ETA,ITTER107,SESSO,STACIVX,TIPO_INDDEM,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:22_289(1.5),A,TOTAL,001050,9,99,JAN,2020,1176,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001050,9,99,JAN,2021,1219,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001051,9,99,JAN,2019,5635,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001051,9,99,JAN,2020,5645,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001051,9,99,JAN,2021,5627,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001052,9,99,JAN,2019,279,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001052,9,99,JAN,2020,274,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001052,9,99,JAN,2021,277,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001053,9,99,JAN,2019,2628,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001053,9,99,JAN,2020,2588,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001053,9,99,JAN,2021,2574,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001054,9,99,JAN,2019,586,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001054,9,99,JAN,2020,594,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001054,9,99,JAN,2021,588,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001055,9,99,JAN,2019,2079,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001055,9,99,JAN,2020,2067,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001055,9,99,JAN,2021,2057,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001056,9,99,JAN,2019,904,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001056,9,99,JAN,2020,906,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001056,9,99,JAN,2021,901,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001057,9,99,JAN,2019,766,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001057,9,99,JAN,2020,765,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001057,9,99,JAN,2021,739,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001058,9,99,JAN,2019,9255,,,,,,,,,
